Quote,Start Location,End Location,Is Quote
"""came down""",4755,4766,True
"""My dear Scrooge, how are you?
When will you come to see me?""",4870,4931,True
"""No
eye at all is better than an evil eye, dark master!""",5301,5357,True
"""nuts""",5547,5553,True
"""A merry Christmas, uncle! God save you!""",7068,7109,True
"""Bah!""",7261,7267,True
"""Humbug!""",7282,7291,True
"""Christmas a humbug, uncle!""",7494,7522,True
"""You don't mean that, I am sure?""",7546,7579,True
"""I do,""",7581,7588,True
"""Merry Christmas! What
right have you to be merry? What reason have you
to be merry? You're poor enough.""",7603,7708,True
"""Come, then,""",7710,7723,True
"""What
right have you to be dismal? What reason have you
to be morose? You're rich enough.""",7751,7841,True
"""Bah!""",7261,7267,True
"""Humbug.""",7952,7961,True
"""Don't be cross, uncle!""",7963,7987,True
"""What else can I be,""",8006,8027,True
"""when I
live in such a world of fools as this? Merry Christmas!
Out upon merry Christmas! What's Christmas
time to you but a time for paying bills without
money; a time for finding yourself a year older, but
not an hour richer; a time for balancing your books
and having every item in 'em through a round dozen
of months presented dead against you? If I could
work my will,""",8048,8422,True
"""every idiot
who goes about with 'Merry Christmas' on his lips,
should be boiled with his own pudding, and buried
with a stake of holly through his heart. He should!""",8449,8615,True
"""Uncle!""",8617,8625,True
"""Nephew!""",8647,8656,True
"""keep Christmas
in your own way, and let me keep it in mine.""",8685,8746,True
"""Keep it!""",8748,8758,True
"""But you
don't keep it.""",8786,8810,True
"""Let me leave it alone, then,""",8812,8842,True
"""Much
good may it do you! Much good it has ever done
you!""",8857,8915,True
"""There are many things from which I might have
derived good, by which I have not profited, I dare
say,""",8917,9020,True
"""Christmas among the
rest. But I am sure I have always thought of Christmas
time, when it has come round--apart from the
veneration due to its sacred name and origin, if anything
belonging to it can be apart from that--as a
good time; a kind, forgiving, charitable, pleasant
time; the only time I know of, in the long calendar
of the year, when men and women seem by one consent
to open their shut-up hearts freely, and to think
of people below them as if they really were
fellow-passengers to the grave, and not another race
of creatures bound on other journeys. And therefore,
uncle, though it has never put a scrap of gold or
silver in my pocket, I believe that it has done me
good, and will do me good; and I say, God bless it!""",9042,9774,True
"""Let me hear another sound from you,""",9941,9978,True
"""and you'll keep your Christmas by losing
your situation! You're quite a powerful speaker,
sir,""",9993,10089,True
"""I wonder you
don't go into Parliament.""",10123,10163,True
"""Don't be angry, uncle. Come! Dine with us to-morrow.""",10165,10219,True
"""But why?""",10378,10388,True
"""Why?""",10413,10419,True
"""Why did you get married?""",10421,10447,True
"""Because I fell in love.""",10463,10488,True
"""Because you fell in love!""",10490,10517,True
"""Good afternoon!""",10623,10640,True
