Text,Start Location,End Location,Is Quote,Speaker
"﻿The Project Gutenberg eBook of A Room with a View
    
This ebook is for the use of anyone anywhere in the United States and
most other parts of the world at no cost and with almost no restrictions
whatsoever. You may copy it, give it away or re-use it under the terms
of the Project Gutenberg License included with this ebook or online
at www.gutenberg.org. If you are not located in the United States,
you will have to check the laws of the country where you are located
before using this eBook.

Title: A Room with a View


Author: E. M. Forster

Release date: May 1, 2001 [eBook #2641]
                Most recently updated: October 22, 2023

Language: English



*** START OF THE PROJECT GUTENBERG EBOOK A ROOM WITH A VIEW ***



[Illustration]




A Room With A View

By E. M. Forster




CONTENTS

 Part One.
 Chapter I. The Bertolini
 Chapter II. In Santa Croce with No Baedeker
 Chapter III. Music, Violets, and the Letter",0,933,False,Narrator,False
“S”,933,936,True,True
“S”,933,936,True,True
"Chapter IV. Fourth Chapter
 Chapter V. Possibilities of a Pleasant Outing
 Chapter VI. The Reverend Arthur Beebe, the Reverend Cuthbert Eager, Mr. Emerson, Mr. George Emerson, Miss Eleanor Lavish, Miss Charlotte Bartlett, and Miss Lucy Honeychurch Drive Out in Carriages to See a View; Italians Drive Them
 Chapter VII. They Return

 Part Two.
 Chapter VIII. Medieval
 Chapter IX. Lucy As a Work of Art
 Chapter X. Cecil as a Humourist
 Chapter XI. In Mrs. Vyse’s Well-Appointed Flat
 Chapter XII. Twelfth Chapter
 Chapter XIII. How Miss Bartlett’s Boiler Was So Tiresome
 Chapter XIV. How Lucy Faced the External Situation Bravely
 Chapter XV. The Disaster Within
 Chapter XVI. Lying to George
 Chapter XVII. Lying to Cecil
 Chapter XVIII. Lying to Mr. Beebe, Mrs. Honeychurch, Freddy, and The Servants
 Chapter XIX. Lying to Mr. Emerson
 Chapter XX. The End of the Middle Ages




PART ONE




Chapter I
The Bertolini",936,1860,False,Narrator,False
"“The Signora had no business to do it,”",1860,1899,True,True
"said Miss Bartlett,",1899,1920,False,Narrator,False
"“no
business at all. She promised us south rooms with a view close
together, instead of which here are north rooms, looking into a
courtyard, and a long way apart. Oh, Lucy!”",1920,2094,True,True
"“And a Cockney, besides!”",2096,2121,True,True
"said Lucy, who had been further saddened by
the Signora’s unexpected accent.",2121,2199,False,Narrator,False
“It might be London.”,2199,2220,True,True
