Text,Start Location,End Location,Is Quote,Speaker
"﻿The Project Gutenberg eBook of A Room with a View
    
This ebook is for the use of anyone anywhere in the United States and
most other parts of the world at no cost and with almost no restrictions
whatsoever. You may copy it, give it away or re-use it under the terms
of the Project Gutenberg License included with this ebook or online
at www.gutenberg.org. If you are not located in the United States,
you will have to check the laws of the country where you are located
before using this eBook.

Title: A Room with a View


Author: E. M. Forster

Release date: May 1, 2001 [eBook #2641]
                Most recently updated: October 22, 2023

Language: English



*** START OF THE PROJECT GUTENBERG EBOOK A ROOM WITH A VIEW ***



[Illustration]




A Room With A View

By E. M. Forster




CONTENTS

 Part One.
 Chapter I. The Bertolini
 Chapter II. In Santa Croce with No Baedeker
 Chapter III. Music, Violets, and the Letter",0,933,False,Narrator
"Chapter IV. Fourth Chapter
 Chapter V. Possibilities of a Pleasant Outing
 Chapter VI. The Reverend Arthur Beebe, the Reverend Cuthbert Eager, Mr. Emerson, Mr. George Emerson, Miss Eleanor Lavish, Miss Charlotte Bartlett, and Miss Lucy Honeychurch Drive Out in Carriages to See a View; Italians Drive Them
 Chapter VII. They Return

 Part Two.
 Chapter VIII. Medieval
 Chapter IX. Lucy As a Work of Art
 Chapter X. Cecil as a Humourist
 Chapter XI. In Mrs. Vyse’s Well-Appointed Flat
 Chapter XII. Twelfth Chapter
 Chapter XIII. How Miss Bartlett’s Boiler Was So Tiresome
 Chapter XIV. How Lucy Faced the External Situation Bravely
 Chapter XV. The Disaster Within
 Chapter XVI. Lying to George
 Chapter XVII. Lying to Cecil
 Chapter XVIII. Lying to Mr. Beebe, Mrs. Honeychurch, Freddy, and The Servants
 Chapter XIX. Lying to Mr. Emerson
 Chapter XX. The End of the Middle Ages




PART ONE




Chapter I
The Bertolini",936,1860,False,Narrator
"said Miss Bartlett,",1899,1920,False,Narrator
"said Lucy, who had been further saddened by
the Signora’s unexpected accent.",2121,2199,False,Narrator
"She looked at
the two rows of English people who were sitting at the table; at the
row of white bottles of water and red bottles of wine that ran between
the English people; at the portraits of the late Queen and the late
Poet Laureate that hung behind the English people, heavily framed; at
the notice of the English church (Rev. Cuthbert Eager, M. A. Oxon.),
that was the only other decoration of the wall.",2220,2630,False,Narrator
"said Miss Bartlett, laying
down her fork.",2843,2887,False,Narrator
Miss Bartlett continued;,3085,3111,False,Narrator
Lucy felt that she had been selfish.,3166,3205,False,Narrator
"said Miss Bartlett, part
of whose travelling expenses were paid by Lucy’s mother—a piece of
generosity to which she made many a tactful allusion.",3354,3502,False,Narrator
"The ladies’ voices grew animated, and—if the sad truth be owned—a
little peevish. They were tired, and under the guise of unselfishness
they wrangled. Some of their neighbours interchanged glances, and one
of them—one of the ill-bred people whom one does meet abroad—leant
forward over the table and actually intruded into their argument. He
said:",3623,3974,False,Narrator
"Miss Bartlett was startled. Generally at a pension people looked them
over for a day or two before speaking, and often did not find out that
they would",4005,4159,False,Narrator
"till they had gone. She knew that the intruder was
ill-bred, even before she glanced at him. He was an old man, of heavy
build, with a fair, shaven face and large eyes. There was something
childish in those eyes, though it was not the childishness of senility.
What exactly it was Miss Bartlett did not stop to consider, for her
glance passed on to his clothes. These did not attract her. He was
probably trying to become acquainted with them before they got into the
swim. So she assumed a dazed expression when he spoke to her, and then
said:",4163,4709,False,Narrator
said the old man;,4775,4794,False,Narrator
"said Miss Bartlett, repressing Lucy, who was about to speak.",4840,4903,False,Narrator
"he continued,",4917,4932,False,Narrator
"The better class of tourist was shocked at this, and sympathized with
the new-comers. Miss Bartlett, in reply, opened her mouth as little as
possible, and said",5001,5163,False,Narrator
"said the old man, with both fists on the table.",5229,5279,False,Narrator
"began Lucy. Her cousin again
repressed her.",5367,5413,False,Narrator
he persisted.,5423,5438,False,Narrator
