Quote,Start Location,End Location,Is Quote
“S”,933,936,True
"“The Signora had no business to do it,”",1860,1899,True
"“no
business at all. She promised us south rooms with a view close
together, instead of which here are north rooms, looking into a
courtyard, and a long way apart. Oh, Lucy!”",1920,2094,True
"“And a Cockney, besides!”",2096,2121,True
“It might be London.”,2199,2220,True
"“Charlotte, don’t you
feel, too, that we might be in London? I can hardly believe that all
kinds of other things are just outside. I suppose it is one’s being so
tired.”",2630,2799,True
"“This meat has surely been used for soup,”",2801,2843,True
"“I want so to see the Arno. The rooms the Signora promised us in her
letter would have looked over the Arno. The Signora had no business to
do it at all. Oh, it is a shame!”",2887,3060,True
"“Any nook does for me,”",3062,3085,True
"“but it does seem hard
that you shouldn’t have a view.”",3111,3166,True
"“Charlotte, you mustn’t spoil me:
of course, you must look over the Arno, too. I meant that. The first
vacant room in the front—”",3205,3334,True
"“You must have it,”",3335,3354,True
"“No, no. You must have it.”",3502,3529,True
"“I insist on it. Your mother would never forgive me, Lucy.”",3531,3590,True
“She would never forgive _me_.”,3592,3623,True
"“I have a view, I have a view.”",3974,4005,True
“do”,4159,4163,True
"“A view? Oh, a view! How delightful a view is!”",4709,4756,True
"“This is my son,”",4758,4775,True
"“his name’s George. He has a view
too.”",4794,4833,True
"“Ah,”",4835,4840,True
"“What I mean,”",4903,4917,True
"“is that you can have our rooms, and we’ll
have yours. We’ll change.”",4932,5001,True
"“Thank you very much indeed; that is out of the
question.”",5163,5221,True
“Why?”,5223,5229,True
"“Because it is quite out of the question, thank you.”",5279,5332,True
"“You see, we don’t like to take—”",5334,5367,True
“But why?”,5413,5423,True
“Women like looking at a view; men don’t.”,5438,5480,True
"“George, persuade them!”",5564,5588,True
"“It’s so obvious they should have the rooms,”",5590,5635,True
"“There’s
nothing else to say.”",5650,5680,True
"“quite a scene,”",5845,5861,True
“Are you all like this?”,6481,6505,True
"“We are not; we are
genteel.”",6654,6683,True
"“Eat your dinner, dear,”",6685,6709,True
"“Eat your dinner, dear. This pension is a failure. To-morrow we will
make a change.”",6852,6936,True
"“Oh, oh! Why, it’s Mr.
Beebe! Oh, how perfectly lovely! Oh, Charlotte, we must stop now,
however bad the rooms are. Oh!”",7267,7387,True
"“How do you do, Mr. Beebe? I expect that you have forgotten us: Miss
Bartlett and Miss Honeychurch, who were at Tunbridge Wells when you
helped the Vicar of St. Peter’s that very cold Easter.”",7431,7623,True
"“I _am_ so glad to see you,”",7844,7872,True
"“Just fancy how small the world is. Summer
Street, too, makes it so specially funny.”",8007,8092,True
"“Miss Honeychurch lives in the parish of Summer Street,”",8094,8150,True
