Text,Start Location,End Location,Is Quote,Speaker
"﻿The Project Gutenberg eBook of Little Women; Or, Meg, Jo, Beth, and Amy
    
This ebook is for the use of anyone anywhere in the United States and
most other parts of the world at no cost and with almost no restrictions
whatsoever. You may copy it, give it away or re-use it under the terms
of the Project Gutenberg License included with this ebook or online
at www.gutenberg.org. If you are not located in the United States,
you will have to check the laws of the country where you are located
before using this eBook.

Title: Little Women; Or, Meg, Jo, Beth, and Amy


Author: Louisa May Alcott

Illustrator: Frank T. Merrill

Release date: August 16, 2011 [eBook #37106]
                Most recently updated: May 22, 2023

Language: English

Credits: David Edwards, Ernest Schaal, Robert Homa, and the Online Distributed Proofreading Team


*** START OF THE PROJECT GUTENBERG EBOOK LITTLE WOMEN; OR, MEG, JO, BETH, AND AMY ***



                      [Illustration: LITTLE WOMEN
                         MEG, JO, BETH, AND AMY
                           LOUISA M. ALCOTT]




                              LITTLE WOMEN.


[Illustration:",0,1143,False,Narrator,False
"""They all drew to the fire, mother in the big chair, with
Beth at her feet""",1143,1218,True,True
"(See page 9) FRONTISPIECE]




                              LITTLE WOMEN
                                   OR
                         Meg, Jo, Beth, and Amy


                                   BY
                            LOUISA M. ALCOTT

            AUTHOR OF",1218,1533,False,Narrator,False
"""LITTLE MEN,""",1533,1546,True,True
""" """,1545,1548,True,True
""" """,1545,1548,True,True
""" """,1545,1548,True,True
""" """,1545,1548,True,True
""" """,1545,1548,True,True
""" """,1545,1548,True,True
""" """,1545,1548,True,True
"""AN OLD-FASHIONED GIRL""",1547,1570,True,True
"""SPINNING-WHEEL STORIES,""",1592,1617,True,True
"ETC.


         _With more than 200 illustrations by Frank T. Merrill
             and a picture of the Home of the Little Women
                         by Edmund H. Garrett_


                                 BOSTON
                     LITTLE, BROWN, AND COMPANY




  Entered according to Act of Congress, in the years 1868 and 1869, by
                           LOUISA M. ALCOTT,
                      In the Clerk's office of the
            District Court of the District of Massachusetts.


                           _Copyright, 1880_,
                          BY LOUISA M. ALCOTT.

                           _Copyright, 1896_,
                         BY JOHN S. P. ALCOTT.


                                 BOSTON
                    ALFRED MUDGE & SON INC. PRINTERS




                         [Illustration: Preface]",1617,2469,False,Narrator,False
"""_Go then, my little Book, and show to all
              That entertain and bid thee welcome shall,
              What thou dost keep close shut up in thy breast;
              And wish what thou dost show them may be blest
              To them for good, may make them choose to be
              Pilgrims better, by far, than thee or me.
              Tell them of Mercy; she is one
              Who early hath her pilgrimage begun.
              Yea, let young damsels learn of her to prize
              The world which is to come, and so be wise;
              For little tripping maids may follow God
              Along the ways which saintly feet have trod._""",2469,3136,True,True
"Adapted from JOHN BUNYAN.




                        [Illustration: Contents]


                              Part First.

            CHAPTER

         I. PLAYING PILGRIMS

        II. A MERRY CHRISTMAS

       III. THE LAURENCE BOY

        IV. BURDENS

         V. BEING NEIGHBORLY

        VI. BETH FINDS THE PALACE BEAUTIFUL

       VII. AMY'S VALLEY OF HUMILIATION

      VIII. JO MEETS APOLLYON

        IX. MEG GOES TO VANITY FAIR

         X. THE P. C. AND P. O.

        XI. EXPERIMENTS

       XII. CAMP LAURENCE

      XIII. CASTLES IN THE AIR

       XIV. SECRETS

        XV. A TELEGRAM

       XVI. LETTERS

      XVII. LITTLE FAITHFUL

     XVIII. DARK DAYS

       XIX. AMY'S WILL

        XX. CONFIDENTIAL

       XXI. LAURIE MAKES MISCHIEF, AND JO MAKES PEACE

      XXII. PLEASANT MEADOWS

     XXIII. AUNT MARCH SETTLES THE QUESTION


                              Part Second.

      XXIV. GOSSIP

       XXV. THE FIRST WEDDING

      XXVI. ARTISTIC ATTEMPTS

     XXVII. LITERARY LESSONS

    XXVIII. DOMESTIC EXPERIENCES

      XXIX. CALLS

       XXX. CONSEQUENCES

      XXXI. OUR FOREIGN CORRESPONDENT

     XXXII. TENDER TROUBLES

    XXXIII. JO'S JOURNAL

     XXXIV. A FRIEND

      XXXV. HEARTACHE

     XXXVI. BETH'S SECRET

    XXXVII. NEW IMPRESSIONS

   XXXVIII. ON THE SHELF

     XXXIX. LAZY LAURENCE

        XL. THE VALLEY OF THE SHADOW

       XLI. LEARNING TO FORGET

      XLII. ALL ALONE

     XLIII. SURPRISES

      XLIV. MY LORD AND LADY

       XLV. DAISY AND DEMI

      XLVI. UNDER THE UMBRELLA

     XLVII. HARVEST TIME

                   [Illustration: Tail-piece to Contents]




                   [Illustration: List of illustrations.]


   [The Illustrations, designed by FRANK T. MERRILL, drawn, engraved,
        and printed under the supervision of GEORGE T. ANDREW.]

                                                                PAGE

    They all drew to the fire, mother in the big chair, with
    Beth at her feet

    Preface

    Contents

    Tail-piece to Contents

    List of Illustrations

    Tail-piece to Illustrations

    Christmas won't be Christmas without any presents

    Beth put a pair of slippers down to warm

    I used to be so frightened when it was my turn to sit in
    the big chair

    Do it this way, clasp your hands so

    It was a cheerful, hopeful letter

    How you used to play Pilgrim's Progress

    No one but Beth could get much music out of the old piano

    At nine they stopped work and sung as usual

    Merry Christmas

    The procession set out

    Out came Meg with gray horse-hair hanging about her face

    A little figure in cloudy white

    The lovers kneeling to receive Don Pedro's blessing

    We talked over the fence

    Tail-piece

    Eating apples and crying over the",3136,5979,False,Narrator,False
"""Heir of Redclyffe""",5979,5998,True,True
"""Heir of Redclyffe""",5979,5998,True,True
