Quote,Start Location,End Location,Is Quote
"""They all drew to the fire, mother in the big chair, with
Beth at her feet""",1143,1218,True
"""LITTLE MEN,""",1533,1546,True
"""AN OLD-FASHIONED GIRL""",1547,1570,True
"""SPINNING-WHEEL STORIES,""",1592,1617,True
"""_Go then, my little Book, and show to all
              That entertain and bid thee welcome shall,
              What thou dost keep close shut up in thy breast;
              And wish what thou dost show them may be blest
              To them for good, may make them choose to be
              Pilgrims better, by far, than thee or me.
              Tell them of Mercy; she is one
              Who early hath her pilgrimage begun.
              Yea, let young damsels learn of her to prize
              The world which is to come, and so be wise;
              For little tripping maids may follow God
              Along the ways which saintly feet have trod._""",2469,3136,True
"""Heir of Redclyffe""",5979,5998,True
"""Oh, rise,""",7506,7517,True
"""Hold your tongue!""",8838,8857,True
"""Christmas won't be Christmas without any presents,""",12312,12364,True
"""It's so dreadful to be poor!""",12397,12427,True
"""I don't think it's fair for some girls to have plenty of pretty things,
and other girls nothing at all,""",12472,12577,True
"""We've got father and mother and each other,""",12620,12665,True
"""We haven't got father, and shall not have him for a long time.""",12831,12895,True
"""perhaps never,""",12911,12927,True
"""You know the reason mother proposed not having any presents this
Christmas was because it is going to be a hard winter for every one; and
she thinks we ought not to spend money for pleasure, when our men are
suffering so in the army. We can't do much, but we can make our little
sacrifices, and ought to do it gladly. But I am afraid I don't;""",13074,13418,True
"""But I don't think the little we should spend would do any good. We've
each got a dollar, and the army wouldn't be much helped by our giving
that. I agree not to expect anything from mother or you, but I do want
to buy Undine and Sintram for myself; I've wanted it _so_ long,""",13508,13784,True
"""I planned to spend mine in new music,""",13815,13854,True
"""I shall get a nice box of Faber's drawing-pencils; I really need them,""",13946,14018,True
"""Mother didn't say anything about our money, and she won't wish us to
give up everything. Let's each buy what we want, and have a little fun;
I'm sure we work hard enough to earn it,""",14040,14223,True
"""I know _I_ do,--teaching those tiresome children nearly all day, when
I'm longing to enjoy myself at home,""",14293,14401,True
"""You don't have half such a hard time as I do,""",14445,14492,True
"""How would you
like to be shut up for hours with a nervous, fussy old lady, who keeps
you trotting, is never satisfied, and worries you till you're ready to
fly out of the window or cry?""",14502,14689,True
"""It's naughty to fret; but I do think washing dishes and keeping things
tidy is the worst work in the world. It makes me cross; and my hands get
so stiff, I can't practise well at all;""",14691,14876,True
"""I don't believe any of you suffer as I do,""",14960,15004,True
"""for you don't
have to go to school with impertinent girls, who plague you if you don't
know your lessons, and laugh at your dresses, and label your father if
he isn't rich, and insult you when your nose isn't nice.""",15016,15232,True
