Quote,Start Location,End Location,Is Quote
“good:”,6700,6707,True
“letting things be”,10171,10190,True
“Exactly”,13957,13966,True
"“Dorothea, dear, if you don’t mind—if you are not very busy—suppose we
looked at mamma’s jewels to-day, and divided them? It is exactly six
months to-day since uncle gave them to you, and you have not looked at
them yet.”",15871,16092,True
"“What a wonderful little almanac you are, Celia! Is it six calendar or
six lunar months?”",16414,16503,True
"“It is the last day of September now, and it was the first of April
when uncle gave them to you. You know, he said that he had forgotten
them till then. I believe you have never thought of them since you
locked them up in the cabinet here.”",16505,16745,True
"“Well, dear, we should never wear them, you know.”",16747,16797,True
"“I think, dear, we are wanting in
respect to mamma’s memory, to put them by and take no notice of them.
And,”",16986,17095,True
"“necklaces are quite usual now; and Madame Poincon, who
was stricter in some things even than you are, used to wear ornaments.
And Christians generally—surely there are women in heaven now who wore
jewels.”",17170,17376,True
“You would like to wear them?”,17467,17497,True
"“Of
course, then, let us have them out. Why did you not tell me before? But
the keys, the keys!”",17674,17770,True
"“They are here,”",17861,17877,True
“Pray open the large drawer of the cabinet and get out the jewel-box.”,17959,18029,True
"“There, Celia! you can wear that with your Indian muslin. But this
cross you must wear with your dark dresses.”",18646,18757,True
"“O Dodo, you must keep the
cross yourself.”",18804,18847,True
"“No, no, dear, no,”",18849,18868,True
"“Yes, indeed you must; it would suit you—in your black dress, now,”",18932,18999,True
“You _might_ wear that.”,19025,19049,True
"“Not for the world, not for the world. A cross is the last thing I
would wear as a trinket.”",19051,19143,True
"“Then you will think it wicked in me to wear it,”",19174,19223,True
"“No, dear, no,”",19247,19262,True
"“Souls have
complexions too: what will suit one will not suit another.”",19307,19378,True
“But you might like to keep it for mamma’s sake.”,19380,19429,True
"“No, I have other things of mamma’s—her sandal-wood box which I am so
fond of—plenty of things. In fact, they are all yours, dear. We need
discuss them no longer. There—take away your property.”",19431,19625,True
"“But how can I wear ornaments if you, who are the elder sister, will
never wear them?”",19825,19911,True
"“Nay, Celia, that is too much to ask, that I should wear trinkets to
keep you in countenance. If I were to put on such a necklace as that, I
should feel as if I had been pirouetting. The world would go round with
me, and I should not know how to walk.”",19913,20165,True
"“It would be a
little tight for your neck; something to lie down and hang would suit
you better,”",20218,20315,True
“How very beautiful these gems are!”,20621,20657,True
"“It is strange how deeply colors
seem to penetrate one, like scent. I suppose that is the reason why
gems are used as spiritual emblems in the Revelation of St. John. They
look like fragments of heaven. I think that emerald is more beautiful
than any of them.”",20729,20989,True
"“And there is a bracelet to match it,”",20991,21029,True
"“We did not notice
this at first.”",21042,21076,True
"“They are lovely,”",21078,21096,True
"“You _would_ like those, Dorothea,”",21364,21399,True
"“You must keep that ring and bracelet—if nothing
else. But see, these agates are very pretty and quiet.”",21589,21693,True
"“Yes! I will keep these—this ring and bracelet,”",21695,21743,True
"“Yet what
miserable men find such things, and work at them, and sell them!”",21826,21901,True
"“Yes, dear, I will keep these,”",22027,22058,True
"“But take all
the rest away, and the casket.”",22085,22130,True
“Shall you wear them in company?”,22310,22343,True
"“Perhaps,”",22703,22713,True
"“I cannot tell to what level I
may sink.”",22742,22783,True
"“I am sure—at least, I trust,”",23500,23530,True
"“that the wearing of a
necklace will not interfere with my prayers. And I do not see that I
should be bound by Dorothea’s opinions now we are going into society,
though of course she herself ought to be bound by them. But Dorothea is
not always consistent.”",23546,23803,True
"“Here, Kitty, come and look at my plan; I shall think I am a great
architect, if I have not got incompatible stairs and fireplaces.”",23892,24024,True
"“‘Dime; no ves aquel caballero que hacia nosotros viene sobre un
caballo rucio rodado que trae puesto en la cabeza un yelmo de oro?’ ‘Lo
que veo y columbro,’ respondio Sancho, ‘no es sino un hombre sobre un
as no pardo como el mio, que trae sobre la cabeza una cosa que
relumbra.’ ‘Pues ese es el yelmo de Mambrino,’ dijo Don
Quijote.”",24461,24796,True
"“‘Seest thou not yon cavalier who cometh toward us on a dapple-gray
steed, and weareth a golden helmet?’ ‘What I see,’ answered Sancho, ‘is
nothing but a man on a gray ass like my own, who carries something
shiny on his head.’ ‘Just so,’ answered Don Quixote: ‘and that
resplendent object is the helmet of Mambrino.’”",24810,25127,True
“Sir Humphry Davy?”,25130,25149,True
"“Well, now, Sir Humphry Davy; I dined with him
years ago at Cartwright’s, and Wordsworth was there too—the poet
Wordsworth, you know. Now there was something singular. I was at
Cambridge when Wordsworth was there, and I never met him—and I dined
with him twenty years afterwards at Cartwright’s. There’s an oddity in
things, now. But Davy was there: he was a poet too. Or, as I may say,
Wordsworth was poet one, and Davy was poet two. That was true in every
sense, you know.”",25296,25771,True
"“I am reading the Agricultural Chemistry,”",26360,26402,True
"“because I am going to take one of the farms into my own hands, and see
if something cannot be done in setting a good pattern of farming among
my tenants. Do you approve of that, Miss Brooke?”",26432,26624,True
"“A great mistake, Chettam,”",26626,26653,True
"“going into
electrifying your land and that kind of thing, and making a parlor of
your cow-house. It won’t do. I went into science a great deal myself at
one time; but I saw it would not do. It leads to everything; you can
let nothing alone. No, no—see that your tenants don’t sell their straw,
and that kind of thing; and give them draining-tiles, you know. But
your fancy farming will not do—the most expensive sort of whistle you
can buy: you may as well keep a pack of hounds.”",26677,27158,True
"“Surely,”",27160,27169,True
"“it is better to spend money in finding out
how men can make the most of the land which supports them all, than in
keeping dogs and horses only to gallop over it. It is not a sin to make
yourself poor in performing experiments for the good of all.”",27185,27433,True
"“Young ladies don’t understand political economy, you know,”",27779,27839,True
"“I remember when we were all
reading Adam Smith. _There_ is a book, now. I took in all the new ideas
at one time—human perfectibility, now. But some say, history moves in
circles; and that may be very well argued; I have argued it myself. The
fact is, human reason may carry you a little too far—over the hedge, in
fact. It carried me a good way at one time; but I saw it would not do.
I pulled up; I pulled up in time. But not too hard. I have always been
in favor of a little theory: we must have Thought; else we shall be
landed back in the dark ages. But talking of books, there is Southey’s
‘Peninsular War.’ I am reading that of a morning. You know Southey?”",27887,28551,True
"“No,”",28553,28558,True
"“I have little leisure for such
literature just now. I have been using up my eyesight on old characters
lately; the fact is, I want a reader for my evenings; but I am
fastidious in voices, and I cannot endure listening to an imperfect
reader. It is a misfortune, in some senses: I feed too much on the
inward sources; I live too much with the dead. My mind is something
like the ghost of an ancient, wandering about the world and trying
mentally to construct it as it used to be, in spite of ruin and
confusing changes. But I find it necessary to use the utmost caution
about my eyesight.”",28662,29251,True
"“But you are fond of riding, Miss Brooke,”",30186,30228,True
"“I should have thought you would enter a little
into the pleasures of hunting. I wish you would let me send over a
chestnut horse for you to try. It has been trained for a lady. I saw
you on Saturday cantering over the hill on a nag not worthy of you. My
groom shall bring Corydon for you every day, if you will only mention
the time.”",30280,30615,True
"“Thank you, you are very good. I mean to give up riding. I shall not
ride any more,”",30617,30701,True
"“No, that is too hard,”",30870,30893,True
"“Your sister is given to self-mortification, is
she not?”",30961,31018,True
"“I think she is,”",31079,31096,True
“She likes giving up.”,31245,31267,True
"“If that were true, Celia, my giving-up would be self-indulgence, not
self-mortification. But there may be good reasons for choosing not to
do what is very agreeable,”",31269,31436,True
"“Exactly,”",31582,31592,True
"“You give up from some high, generous
motive.”",31609,31655,True
"“No, indeed, not exactly. I did not say that of myself,”",31657,31713,True
"“I made a great study of theology at one time,”",32381,32428,True
"“I know something of all
schools. I knew Wilberforce in his best days. Do you know Wilberforce?”",32492,32588,True
“No.”,32609,32614,True
"“Well, Wilberforce was perhaps not enough of a thinker; but if I went
into Parliament, as I have been asked to do, I should sit on the
independent bench, as Wilberforce did, and work at philanthropy.”",32616,32816,True
"“Yes,”",32878,32884,True
"“but I have documents. I
began a long while ago to collect documents. They want arranging, but
when a question has struck me, I have written to somebody and got an
answer. I have documents at my back. But now, how do you arrange your
documents?”",32922,33167,True
"“In pigeon-holes partly,”",33169,33194,True
"“Ah, pigeon-holes will not do. I have tried pigeon-holes, but
everything gets mixed in pigeon-holes: I never know whether a paper is
in A or Z.”",33253,33397,True
"“I wish you would let me sort your papers for you, uncle,”",33399,33457,True
"“I would letter them all, and then make a list of subjects
under each letter.”",33473,33551,True
"“You have
an excellent secretary at hand, you perceive.”",33615,33671,True
"“No, no,”",33673,33682,True
"“I cannot let young ladies
meddle with my documents. Young ladies are too flighty.”",33718,33801,True
“How very ugly Mr. Casaubon is!”,34149,34181,True
"“Celia! He is one of the most distinguished-looking men I ever saw. He
is remarkably like the portrait of Locke. He has the same deep
eye-sockets.”",34183,34330,True
“Had Locke those two white moles with hairs on them?”,34332,34385,True
"“Oh, I dare say! when people of a certain sort looked at him,”",34387,34449,True
“Mr. Casaubon is so sallow.”,34489,34517,True
"“All the better. I suppose you admire a man with the complexion of a
_cochon de lait_.”",34519,34606,True
“Dodo!”,34608,34615,True
"“I never heard
you make such a comparison before.”",34664,34714,True
"“Why should I make it before the occasion came? It is a good
comparison: the match is perfect.”",34716,34811,True
"“I wonder you show temper, Dorothea.”",34880,34917,True
"“It is so painful in you, Celia, that you will look at human beings as
if they were merely animals with a toilet, and never see the great soul
in a man’s face.”",34919,35079,True
“Has Mr. Casaubon a great soul?”,35081,35113,True
"“Yes, I believe he has,”",35162,35186,True
"“Everything I see in him corresponds to his pamphlet on
Biblical Cosmology.”",35235,35311,True
"“He talks very little,”",35313,35336,True
“There is no one for him to talk to.”,35349,35386,True
"“Dorothea quite despises Sir James Chettam; I
believe she would not accept him.”",35413,35493,True
“What shall we do?”,36593,36612,True
