Quote,Start Location,End Location,Is Quote
"“While you take in hand to school others, and to teach them by what
  name a whale-fish is to be called in our tongue, leaving out, through
  ignorance, the letter H, which almost alone maketh up the
  signification of the word, you deliver that which is not true.”",6031,6296,True
"“WHALE. * * * Sw. and Dan. _hval_. This animal is named from
  roundness or rolling; for in Dan. _hvalt_ is arched or vaulted.”",6315,6442,True
"“WHALE. * * * It is more immediately from the Dut. and Ger. _Wallen_;
  A.S. _Walw-ian_, to roll, to wallow.”",6473,6582,True
“And God created great whales.”,8852,8883,True
"“Leviathan maketh a path to shine after him; One would think the deep
  to be hoary.”",8899,8984,True
“Now the Lord had prepared a great fish to swallow up Jonah.”,8996,9057,True
"“There go the ships; there is that Leviathan whom thou hast made to
  play therein.”",9073,9157,True
"“In that day, the Lord with his sore, and great, and strong sword,
  shall punish Leviathan the piercing serpent, even Leviathan that
  crooked serpent; and he shall slay the dragon that is in the sea.”",9172,9374,True
"“And what thing soever besides cometh within the chaos of this
  monster’s mouth, be it beast, boat, or stone, down it goes all
  incontinently that foul great swallow of his, and perisheth in the
  bottomless gulf of his paunch.”",9391,9621,True
"“The Indian Sea breedeth the most and the biggest fishes that are:
  among which the Whales and Whirlpooles called Balaene, take up as
  much in length as four acres or arpens of land.”",9657,9842,True
"“Scarcely had we proceeded two days on the sea, when about sunrise a
  great many Whales and other monsters of the sea, appeared. Among the
  former, one was of a most monstrous size.... This came towards us,
  open-mouthed, raising the waves on all sides, and beating the sea
  before him into a foam.”",9866,10169,True
“_The True History_.”,10189,10210,True
"“He visited this country also with a view of catching horse-whales,
  which had bones of very great value for their teeth, of which he
  brought some to the king.... The best whales were catched in his own
  country, of which some were forty-eight, some fifty yards long. He
  said that he was one of six who had killed sixty in two days.”",10217,10556,True
"“And whereas all the other things, whether beast or vessel, that
  enter into the dreadful gulf of this monster’s (whale’s) mouth, are
  immediately lost and swallowed up, the sea-gudgeon retires into it in
  great security, and there sleeps.”",10653,10896,True
"“Let us fly, let us fly! Old Nick take me if it is not Leviathan
  described by the noble prophet Moses in the life of patient Job.”",10945,11077,True
“This whale’s liver was two cartloads.”,11096,11135,True
"“The great Leviathan that maketh the seas to seethe like boiling
  pan.”",11158,11230,True
"“Touching that monstrous bulk of the whale or ork we have received
  nothing certain. They grow exceeding fat, insomuch that an incredible
  quantity of oil will be extracted out of one whale.”",11273,11466,True
“_History of Life and Death_.”,11478,11508,True
“The sovereignest thing on earth is parmacetti for an inward bruise.”,11515,11584,True
“Very like a whale.”,11605,11625,True
"“Which to secure, no skill of leach’s art Mote him availle, but to
  returne againe To his wound’s worker, that with lowly dart, Dinting
  his breast, had bred his restless paine, Like as the wounded whale to
  shore flies thro’ the maine.”",11641,11881,True
"“Immense as whales, the motion of whose vast bodies can in a peaceful
  calm trouble the ocean till it boil.”",11908,12017,True
"“What spermacetti is, men might justly doubt, since the learned
  Hosmannus in his work of thirty years, saith plainly, _Nescio quid
  sit_.”",12070,12211,True
"“Like Spencer’s Talus with his modern flail He threatens ruin with
  his ponderous tail. ... Their fixed jav’lins in his side he wears,
  And on his back a grove of pikes appears.”",12293,12473,True
"“By art is created that great Leviathan, called a Commonwealth or
  State—(in Latin, Civitas) which is but an artificial man.”",12523,12649,True
"“Silly Mansoul swallowed it without chewing, as if it had been a
  sprat in the mouth of a whale.”",12698,12796,True
"“That sea beast Leviathan, which God of all his works Created hugest
  that swim the ocean stream.”",12824,12923,True
"“There Leviathan, Hugest of living creatures, in the deep Stretched
  like a promontory sleeps or swims, And seems a moving land; and at
  his gills Draws in, and at his breath spouts out a sea.”",12946,13141,True
"“The mighty whales which swim in a sea of water, and have a sea of
  oil swimming in them.”",13156,13247,True
"“So close behind some promontory lie The huge Leviathan to attend
  their prey, And give no chance, but swallow in the fry, Which through
  their gaping jaws mistake the way.”",13288,13463,True
"“While the whale is floating at the stern of the ship, they cut off
  his head, and tow it with a boat as near the shore as it will come;
  but it will be aground in twelve or thirteen feet water.”",13498,13695,True
"“In their way they saw many whales sporting in the ocean, and in
  wantonness fuzzing up the water through their pipes and vents, which
  nature has placed on their shoulders.”",13758,13934,True
"“Here they saw such huge troops of whales, that they were forced to
  proceed with a great deal of caution for fear they should run their
  ship upon them.”",14003,14159,True
"“We set sail from the Elbe, wind N.E. in the ship called The
  Jonas-in-the-Whale.... Some say the whale can’t open his mouth, but
  that is a fable.... They frequently climb up the masts to see whether
  they can see a whale, for the first discoverer has a ducat for his
  pains.... I was told of a whale taken near Shetland, that had above a
  barrel of herrings in his belly.... One of our harpooneers told me
  that he caught once a whale in Spitzbergen that was white all over.”",14201,14684,True
"“Several whales have come in upon this coast (Fife) Anno 1652, one
  eighty feet in length of the whale-bone kind came in, which (as I was
  informed), besides a vast quantity of oil, did afford 500 weight of
  baleen. The jaws of it stand for a gate in the garden of Pitferren.”",14742,15021,True
"“Myself have agreed to try whether I can master and kill this
  Sperma-ceti whale, for I could never hear of any of that sort that
  was killed by any man, such is his fierceness and swiftness.”",15058,15252,True
“Whales in the sea God’s voice obey.”,15333,15370,True
