Quote,Start Location,End Location,Is Quote
"“Suppose,”",3473,3483,True
"“I answered with the
plain truth, ‘I am crying because I cannot get married.’ How horrified
Mother would be—though she is ashamed every day of her life of her old
maid daughter.”",3521,3699,True
"“It is not,”",3746,3758,True
"“it is not
_maidenly_ to think about _men_.”",3826,3870,True
“hooked”,4428,4436,True
“hooked”,4428,4436,True
"“Gone but not forgotten,”",5098,5123,True
"“And I just have to go on living because I can’t stop. I may have to
live eighty years,”",10159,10247,True
"“We’re all
horribly long-lived. It sickens me to think of it.”",10285,10347,True
"“marrying money,”",11167,11184,True
"“Not thinking of
getting married yet, my dear?”",11222,11269,True
"“he,”",11880,11885,True
"“I don’t know why all the girls of today are so sunburned. When _I_ was
a girl my skin was roses and cream. I was counted the prettiest girl in
Canada, my dear.”",12055,12216,True
"“How fat you’re getting, Doss!”",12300,12331,True
“I suppose you’re busy with your hope-chest these days?”,12722,12778,True
"“What is the difference between Doss and a mouse?

“The mouse wishes to harm the cheese and Doss wishes to charm the
he’s.”",12895,13018,True
“which of us will be the first to go next.”,14255,14298,True
"“nature
books”",15930,15944,True
"“all about the
woods and birds and bugs and things like that, you know.”",15991,16063,True
“Where does he live?”,16813,16834,True
"“Nobody knows. From his books he must be a Canadian, but no more
information can be had. His publishers won’t say a word. Quite likely
John Foster is a nom de plume. His books are so popular we can’t keep
them in at all, though I really can’t see what people find in them to
rave over.”",16855,17141,True
"“I think they’re wonderful,”",17143,17171,True
“Oh—well—”,17196,17206,True
"“I can’t say I care much for bugs myself.
But certainly Foster seems to know all there is to know about them.”",17297,17407,True
"“just
like that”",18952,18968,True
"“dropped dead without a moment’s warning, my dear.”",18973,19024,True
“so pinched and peaked always”,19131,19161,True
"“no Stirling
ever had heart disease before”",19225,19268,True
"“poor, dear little Doss isn’t long for
this world, I’m afraid”",19332,19394,True
"“Why, _my_ heart
has been like that for _years_,”",19425,19474,True
"“Why all
this fuss over a faded superfluity like Doss when you have _me_?”",19646,19720,True
"“It is the _only_ way that becomes you. Your face is so small that you
_must_ add height to it by a pompadour effect,”",24662,24780,True
"“And I always will be—I know it—I can’t help it. I don’t know what it
would be like not to be afraid of something.”",25418,25533,True
"“Keep that schoolgirl
complexion.”",26841,26875,True
"“exactly
like my life,”",26990,27013,True
"“Sit up straight, Doss,”",27817,27841,True
"“Doss will be sure to ketch them,”",28525,28559,True
"“Doss must not go where she is likely to catch mumps,”",28576,28630,True
"“None of _my_ family were ever like that,”",29182,29224,True
"“The Stirlings seldom take colds,”",29293,29327,True
"“I think,”",29390,29400,True
"“that if a person makes up her mind
_not_ to have colds she will not _have_ colds.”",29422,29505,True
"“Mother,”",30251,30260,True
"“would you mind calling me Valancy after
this? Doss seems so—so—I don’t like it.”",30279,30360,True
“What is the matter with Doss?”,30522,30553,True
"“It—seems so childish,”",30555,30578,True
“Oh!”,30598,30603,True
"“I see. Well, it should suit _you_ then. You are childish
enough in all conscience, my dear child.”",30682,30781,True
"“I am twenty-nine,”",30783,30802,True
"“I wouldn’t proclaim it from the house-tops if I were you, dear,”",30837,30902,True
"“Twenty-nine! _I_ had been married nine years when I
was twenty-nine.”",30924,30994,True
"“_I_ was married at seventeen,”",30996,31027,True
"“I haven’t even a gift for friendship,”",32035,32074,True
"“Doss, you haven’t eaten your crusts,”",32120,32158,True
"“The woods are so human,”",33205,33230,True
