Quote,Start Location,End Location,Is Quote
"“You never
know,”",3324,3341,True
"“when there will be a rainy day, and you may be very
glad to find you have a nest-egg. Indeed we both may.”",3351,3458,True
"“Marvellous,”",5924,5937,True
"“She,”",7174,7180,True
“should stay at home.”,7281,7303,True
"“Are you
reading about the mediaeval castle and the wistaria?”",10722,10784,True
“Why do you ask me that?”,11459,11484,True
"“Oh,
only because I saw it too, and I thought perhaps—I thought somehow—”",11647,11720,True
"“And I know you by sight,”",11981,12007,True
"“Every
Sunday—I see you every Sunday in church—”",12188,12236,True
“In church?”,12238,12250,True
"“And this seems such a wonderful thing—this advertisement about the
wistaria—and—”",12275,12357,True
"“It seems _so_ wonderful,”",12506,12532,True
"“and—it is
such a miserable day . . .”",12565,12603,True
"“This poor thing,”",12685,12703,True
“needs advice.”,12777,12792,True
"“If you see me in church,”",12850,12876,True
"“I suppose
you live in Hampstead too?”",12911,12949,True
"“Oh yes,”",12951,12960,True
“Oh yes.”,13094,13103,True
“Where?”,13105,13113,True
"“Perhaps that’s why _this_ seems
so wonderful.”",13392,13439,True
"“No—I think _that’s_ wonderful anyhow,”",13441,13480,True
“Then you _were_ reading it?”,13541,13570,True
"“Yes,”",13572,13578,True
“Wouldn’t it be wonderful?”,13630,13657,True
"“Wonderful,”",13682,13694,True
"“Very wonderful,”",13771,13788,True
"“But it’s no use
wasting one’s time thinking of such things.”",13799,13860,True
"“Oh, but it _is_,”",13862,13880,True
"“And just the considering of them is worth while
in itself—such a change from Hampstead—and sometimes I believe—I really
do believe—if one considers hard enough one gets things.”",14077,14255,True
"“Perhaps,”",14356,14366,True
"“you will tell me your
name. If we are to be friends”",14403,14456,True
"“as I hope we
are, we had better begin at the beginning.”",14484,14541,True
"“Oh yes—how kind of you. I’m Mrs. Wilkins,”",14543,14586,True
"“I don’t
expect,”",14606,14623,True
"“that it
conveys anything to you. Sometimes it—it doesn’t seem to convey
anything to me either. But”",14677,14777,True
“I _am_ Mrs. Wilkins.”,14827,14849,True
"“But I am not a villa,”",15661,15684,True
"“I believe,”",16389,16401,True
"“that _anybody_ would quarrel about _anything_ when they’ve not
left off being together for a single day for two whole years. What we
both need is a holiday.”",16464,16622,True
"“My husband,”",16624,16637,True
“is a solicitor. He—”,16717,16738,True
"“He’s very
handsome.”",16818,16839,True
"“Well,”",16841,16848,True
"“that must be a great pleasure to
you.”",16877,16916,True
“Why?”,16918,16924,True
"“Because,”",16946,16956,True
"“because beauty—handsomeness—is a gift like
any other, and if it is properly used—”",17112,17195,True
“Why don’t we try and get it?”,18806,18836,True
“Get it?”,18896,18905,True
"“Yes,”",13572,13578,True
"“Not just sit here and say How wonderful, and then go home
to Hampstead without having put out a finger—go home just as usual and
see about the dinner and the fish just as we’ve been doing for years
and years and will go on doing for years and years. In fact,”",18999,19259,True
"“I see no end to it. There is no end to it. So that
there ought to be a break, there ought to be intervals—in everybody’s
interests. Why, it would really be being unselfish to go away and be
happy for a little, because we would come back so much nicer. You see,
after a bit everybody needs a holiday.”",19427,19728,True
"“But—how do you mean, get it?”",19730,19760,True
"“Take it,”",19784,19794,True
“Take it?”,19815,19825,True
“Rent it. Hire it. Have it.”,19827,19855,True
“But—do you mean you and I?”,19857,19885,True
"“Yes. Between us. Share. Then it would only cost half, and you look
so—you look exactly as if you wanted it just as much as I do—as if you
ought to have a rest—have something happy happen to you.”",19887,20083,True
"“Why, but we don’t know each other.”",20085,20121,True
"“But just think how well we would if we went away together for a month!
And I’ve saved for a rainy day, and I expect so have you, and this _is_
the rainy day—look at it—”",20123,20293,True
"“She is unbalanced,”",20295,20315,True
“Think of getting away for a whole month—from everything—to heaven—”,20373,20441,True
"“She shouldn’t say things like that,”",20443,20480,True
"“The
vicar—”",20505,20517,True
"“But then, you see, heaven isn’t somewhere else. It is
here and now. We are told so.”",20763,20848,True
"“Heaven is within us,”",20945,20967,True
"“We are told that on the very highest authority. And you
know the lines about the kindred points, don’t you—”",21002,21111,True
"“Oh yes, I know _them_,”",21113,21137,True
"“The kindred points of heaven and home,”",21177,21217,True
“Heaven is in our home.”,21285,21309,True
"“It isn’t,”",21311,21322,True
"“Oh, but it is.
It is there if we choose, if we make it.”",21417,21474,True
"“I do choose, and I do make it, and it isn’t,”",21476,21522,True
"“I’d like so much to be friends,”",26441,26474,True
"“Won’t you come
and see me, or let me come to you sometimes? Whenever you feel as if
you wanted to talk. I’ll give you my address”",26495,26625,True
“and then you won’t forget.”,26654,26682,True
"“It’s so funny,”",26754,26770,True
“but I _see_ us both—you and me—this April in the mediaeval castle.”,26824,26892,True
“Do you?”,26935,26944,True
“Do you?”,26935,26944,True
“Don’t you ever see things in a kind of flash before they happen?”,27051,27117,True
"“Never,”",27139,27147,True
"“Of course,”",27399,27411,True
"“it would be most
beautiful—most beautiful—”",27513,27557,True
"“Even if it were wrong,”",27559,27583,True
"“it would only be for a
month.”",27603,27634,True
“That—”,27636,27643,True
"“Anyhow,”",27786,27795,True
"“I’m sure it’s wrong to go
on being good for too long, till one gets miserable. And I can see
you’ve been good for years and years, because you look so unhappy”",27829,27989,True
"“and I—I’ve done nothing but
duties, things for other people, ever since I was a girl, and I don’t
believe anybody loves me a bit—a bit—the b-better—and I long—oh, I
long—for something else—something else—”",28033,28239,True
"“Will you believe,”",28755,28774,True
"“that I’ve never spoken to any
one before in my life like this? I can’t think, I simply don’t know,
what has come over me.”",28859,28982,True
"“It’s the advertisement,”",28984,29009,True
"“Yes,”",13572,13578,True
"“and us both
being so—”",29106,29129,True
“miserable.”,29163,29175,True
"“There’s no harm in simply _asking_,”",30700,30737,True
"“It isn’t as if it _committed_ us to anything,”",30871,30918,True
"“It only shows,”",32450,32466,True
"“how immaculately good we’ve been all our lives.
The very first time we do anything our husbands don’t know about we
feel guilty.”",32540,32670,True
