Quote,Start Location,End Location,Is Quote
“STANDING ON THE MISERABLE EMINENCE”,5220,5256,True
“SHE WAS LED BACK TO PRISON”,5280,5308,True
“THE EYES OF THE WRINKLED SCHOLAR GLOWED”,5340,5381,True
“LOOK THOU TO IT! I WILL NOT LOSE THE CHILD!”,5760,5805,True
“THEY STOOD IN THE NOON OF THAT STRANGE SPLENDOR”,6000,6049,True
“HE GATHERED HERBS HERE AND THERE”,6180,6214,True
“WILT THOU YET FORGIVE ME?”,6300,6327,True
“SMILE WITH A SINISTER MEANING”,6495,6526,True
“SHALL WE NOT MEET AGAIN?”,6600,6626,True
“THE SCARLET LETTER.”,6885,6906,True
"“P. P., Clerk of this Parish,”",7639,7669,True
“What is he?”,21613,21626,True
"“A writer of story-books! What kind of a business in
life—what mode of glorifying God, or being serviceable to mankind in
his day and generation—may that be? Why, the degenerate fellow might
as well have been a fiddler!”",21683,21903,True
"“I’ll try, Sir!”",48944,48960,True
"“MAIN STREET,”",63535,63549,True
“THE SCARLET LETTER”,67537,67557,True
"“Do this,”",69519,69529,True
"“do this, and the profit shall be all your own! You
will shortly need it; for it is not in your days as it was in mine,
when a man’s office was a life-lease, and oftentimes an heirloom.
But, I charge you, in this matter of old Mistress Prynne, give to your
predecessor’s memory the credit which will be rightfully due!”",69646,69965,True
“I will!”,70011,70020,True
“The Scarlet Letter”,71153,71173,True
"“What have you
to do with us?”",71709,71739,True
"“The little power you
might once have possessed over the tribe of unrealities is gone! You
have bartered it for a pittance of the public gold. Go, then, and earn
your wages!”",71771,71945,True
“P. P.”,83334,83341,True
"“The Scarlet Letter,”",90852,90873,True
"“Goodwives,”",100009,100021,True
"“I’ll tell ye a piece
of my mind. It would be greatly for the public behoof, if we women,
being of mature age and church-members in good repute, should have the
handling of such malefactresses as this Hester Prynne. What think ye,
gossips? If the hussy stood up for judgment before us five, that are
now here in a knot together, would she come off with such a sentence
as the worshipful magistrates have awarded? Marry, I trow not!”",100058,100490,True
"“People say,”",100492,100505,True
"“that the Reverend Master Dimmesdale, her
godly pastor, takes it very grievously to heart that such a scandal
should have come upon his congregation.”",100520,100670,True
"“The magistrates are God-fearing gentlemen, but merciful
overmuch,—that is a truth,”",100672,100756,True
"“At the
very least, they should have put the brand of a hot iron on Hester
Prynne’s forehead. Madam Hester would have winced at that, I warrant
me. But she,—the naughty baggage,—little will she care what they
put upon the bodice of her gown! Why, look you, she may cover it with
a brooch, or such like heathenish adornment, and so walk the streets
as brave as ever!”",100788,101154,True
